bio,bio_cleaned,tokens,filtered_tokens,lemmatized_tokens
Pizza lover and serial binge-watcher 🍕📺,pizza lover and serial bingewatcher,"['pizza', 'lover', 'and', 'serial', 'bingewatcher']","['pizza', 'lover', 'serial', 'bingewatcher']","['pizza', 'lover', 'serial']"
sarcastic till death,sarcastic till death,"['sarcastic', 'till', 'death']","['sarcastic', 'till', 'death']","['sarcastic', 'till', 'death']"
"Loves books, music, and chocolate.",loves books music and chocolate,"['loves', 'books', 'music', 'and', 'chocolate']","['loves', 'books', 'music', 'chocolate']","['love', 'book', 'music', 'chocolate']"
Recovering overthinker seeking chaos partner,recovering overthinker seeking chaos partner,"['recovering', 'overthinker', 'seeking', 'chaos', 'partner']","['recovering', 'overthinker', 'seeking', 'chaos', 'partner']","['recover', 'overthinker', 'seek', 'chaos', 'partner']"
lowkey dramatic,lowkey dramatic,"['lowkey', 'dramatic']","['lowkey', 'dramatic']","['lowkey', 'dramatic']"
pizza > salad fight me,pizza  salad fight me,"['pizza', 'salad', 'fight', 'me']","['pizza', 'salad', 'fight']","['pizza', 'salad', 'fight']"
"I flirt, then act mysterious.",i flirt then act mysterious,"['i', 'flirt', 'then', 'act', 'mysterious']","['flirt', 'act', 'mysterious']","['flirt', 'act', 'mysterious']"
"Wine lover, flakes.",wine lover flakes,"['wine', 'lover', 'flakes']","['wine', 'lover', 'flakes']","['wine', 'lover', 'flake']"
I overshare and overthink,i overshare and overthink,"['i', 'overshare', 'and', 'overthink']","['overshare', 'overthink']","['overshare', 'overthink']"
chaotic energy & memes,chaotic energy  memes,"['chaotic', 'energy', 'memes']","['chaotic', 'energy', 'memes']","['chaotic', 'energy', 'meme']"
too honest sometimes,too honest sometimes,"['too', 'honest', 'sometimes']","['honest', 'sometimes']","['honest', 'sometimes']"
Can’t survive without sunshine and laughter.,cant survive without sunshine and laughter,"['cant', 'survive', 'without', 'sunshine', 'and', 'laughter']","['cant', 'survive', 'without', 'sunshine', 'laughter']","['survive', 'without', 'sunshine', 'laughter']"
"Caffeine in, chaos out",caffeine in chaos out,"['caffeine', 'in', 'chaos', 'out']","['caffeine', 'chaos']","['caffeine', 'chaos']"
"Loves festivals, music, and laughter.",loves festivals music and laughter,"['loves', 'festivals', 'music', 'and', 'laughter']","['loves', 'festivals', 'music', 'laughter']","['love', 'festival', 'music', 'laughter']"
bored rn,bored rn,"['bored', 'rn']","['bored', 'rn']","['bore', 'rn']"
Pro at awkward silences,pro at awkward silences,"['pro', 'at', 'awkward', 'silences']","['pro', 'awkward', 'silences']","['pro', 'awkward', 'silence']"
"mostly stable, emotionally literate, knows how to apologize — also cries at animated movies and ghost people when overwhelmed lol",mostly stable emotionally literate knows how to apologize  also cries at animated movies and ghost people when overwhelmed lol,"['mostly', 'stable', 'emotionally', 'literate', 'knows', 'how', 'to', 'apologize', 'also', 'cries', 'at', 'animated', 'movies', 'and', 'ghost', 'people', 'when', 'overwhelmed', 'lol']","['mostly', 'stable', 'emotionally', 'literate', 'knows', 'apologize', 'also', 'cries', 'animated', 'movies', 'ghost', 'people', 'overwhelmed', 'lol']","['mostly', 'stable', 'emotionally', 'literate', 'know', 'apologize', 'also', 'cry', 'animate', 'movie', 'ghost', 'people', 'overwhelm', 'lol']"
Introvert seeking someone to share music and snacks with.,introvert seeking someone to share music and snacks with,"['introvert', 'seeking', 'someone', 'to', 'share', 'music', 'and', 'snacks', 'with']","['introvert', 'seeking', 'someone', 'share', 'music', 'snacks']","['introvert', 'seek', 'someone', 'share', 'music', 'snack']"
might cry randomly,might cry randomly,"['might', 'cry', 'randomly']","['might', 'cry', 'randomly']","['might', 'cry', 'randomly']"
Movie marathoner with a passion for sarcasm.,movie marathoner with a passion for sarcasm,"['movie', 'marathoner', 'with', 'a', 'passion', 'for', 'sarcasm']","['movie', 'marathoner', 'passion', 'sarcasm']","['movie', 'marathoner', 'passion', 'sarcasm']"
Introvert seeking mutual ignoring,introvert seeking mutual ignoring,"['introvert', 'seeking', 'mutual', 'ignoring']","['introvert', 'seeking', 'mutual', 'ignoring']","['introvert', 'seek', 'mutual', 'ignoring']"
"Hiking, coding, and pretending I know wine. 🍷",hiking coding and pretending i know wine,"['hiking', 'coding', 'and', 'pretending', 'i', 'know', 'wine']","['hiking', 'coding', 'pretending', 'know', 'wine']","['hike', 'cod', 'pretend', 'know', 'wine']"
Bookworm with a messy bookshelf.,bookworm with a messy bookshelf,"['bookworm', 'with', 'a', 'messy', 'bookshelf']","['bookworm', 'messy', 'bookshelf']","['bookworm', 'messy', 'bookshelf']"
"Professional overthinker, chaos magnet",professional overthinker chaos magnet,"['professional', 'overthinker', 'chaos', 'magnet']","['professional', 'overthinker', 'chaos', 'magnet']","['professional', 'overthinker', 'chaos', 'magnet']"
not ur typical girl,not ur typical girl,"['not', 'ur', 'typical', 'girl']","['ur', 'typical', 'girl']","['ur', 'typical', 'girl']"
Loves thrift shopping and cheesy rom-coms.,loves thrift shopping and cheesy romcoms,"['loves', 'thrift', 'shopping', 'and', 'cheesy', 'romcoms']","['loves', 'thrift', 'shopping', 'cheesy', 'romcoms']","['love', 'thrift', 'shopping', 'cheesy']"
"I bring flowers, not drama",i bring flowers not drama,"['i', 'bring', 'flowers', 'not', 'drama']","['bring', 'flowers', 'drama']","['bring', 'flower', 'drama']"
Adventure seeker with a love for sunsets ✈️🌅,adventure seeker with a love for sunsets,"['adventure', 'seeker', 'with', 'a', 'love', 'for', 'sunsets']","['adventure', 'seeker', 'love', 'sunsets']","['adventure', 'seeker', 'love', 'sunset']"
tacos before love,tacos before love,"['tacos', 'before', 'love']","['tacos', 'love']","['taco', 'love']"
"Music, laughter, and midnight snacks 🎶😂🍫",music laughter and midnight snacks,"['music', 'laughter', 'and', 'midnight', 'snacks']","['music', 'laughter', 'midnight', 'snacks']","['music', 'laughter', 'midnight', 'snack']"
"I laugh too loud, sometimes at inappropriate times.",i laugh too loud sometimes at inappropriate times,"['i', 'laugh', 'too', 'loud', 'sometimes', 'at', 'inappropriate', 'times']","['laugh', 'loud', 'sometimes', 'inappropriate', 'times']","['laugh', 'loud', 'sometimes', 'inappropriate', 'time']"
Loves random road trips and laughter.,loves random road trips and laughter,"['loves', 'random', 'road', 'trips', 'and', 'laughter']","['loves', 'random', 'road', 'trips', 'laughter']","['love', 'random', 'road', 'trip', 'laughter']"
lowkey dramatic,lowkey dramatic,"['lowkey', 'dramatic']","['lowkey', 'dramatic']","['lowkey', 'dramatic']"
Recovering chaos magnet,recovering chaos magnet,"['recovering', 'chaos', 'magnet']","['recovering', 'chaos', 'magnet']","['recover', 'chaos', 'magnet']"
i scream at movies,i scream at movies,"['i', 'scream', 'at', 'movies']","['scream', 'movies']","['scream', 'movie']"
Serial overthinker with snacks,serial overthinker with snacks,"['serial', 'overthinker', 'with', 'snacks']","['serial', 'overthinker', 'snacks']","['serial', 'overthinker', 'snack']"
might overtext,might overtext,"['might', 'overtext']","['might', 'overtext']","['might', 'overtext']"
I laugh at my own jokes,i laugh at my own jokes,"['i', 'laugh', 'at', 'my', 'own', 'jokes']","['laugh', 'jokes']","['laugh', 'joke']"
"Flirt dangerously, nap responsibly",flirt dangerously nap responsibly,"['flirt', 'dangerously', 'nap', 'responsibly']","['flirt', 'dangerously', 'nap', 'responsibly']","['flirt', 'dangerously', 'nap', 'responsibly']"
love sarcasm,love sarcasm,"['love', 'sarcasm']","['love', 'sarcasm']","['love', 'sarcasm']"
Introvert with occasional extrovert episodes,introvert with occasional extrovert episodes,"['introvert', 'with', 'occasional', 'extrovert', 'episodes']","['introvert', 'occasional', 'extrovert', 'episodes']","['introvert', 'occasional', 'extrovert', 'episode']"
you get full eye contact and my full attention,you get full eye contact and my full attention,"['you', 'get', 'full', 'eye', 'contact', 'and', 'my', 'full', 'attention']","['get', 'full', 'eye', 'contact', 'full', 'attention']","['get', 'full', 'eye', 'contact', 'full', 'attention']"
"Love adventures, hate explanations.",love adventures hate explanations,"['love', 'adventures', 'hate', 'explanations']","['love', 'adventures', 'hate', 'explanations']","['love', 'adventure', 'hate', 'explanation']"
"Snack first, questions later",snack first questions later,"['snack', 'first', 'questions', 'later']","['snack', 'first', 'questions', 'later']","['snack', 'first', 'question', 'later']"
anxious-attachment-in-recovery 🫠 but self-aware,anxiousattachmentinrecovery  but selfaware,"['anxiousattachmentinrecovery', 'but', 'selfaware']","['anxiousattachmentinrecovery', 'selfaware']",[]
lowkey romantic. highkey stable.,lowkey romantic highkey stable,"['lowkey', 'romantic', 'highkey', 'stable']","['lowkey', 'romantic', 'highkey', 'stable']","['lowkey', 'romantic', 'highkey', 'stable']"
"Gym enthusiast, sometimes judgmental.",gym enthusiast sometimes judgmental,"['gym', 'enthusiast', 'sometimes', 'judgmental']","['gym', 'enthusiast', 'sometimes', 'judgmental']","['gym', 'enthusiast', 'sometimes', 'judgmental']"
Caffeine-dependent disaster,caffeinedependent disaster,"['caffeinedependent', 'disaster']","['caffeinedependent', 'disaster']",['disaster']
I’ll fight for you… then make you beg. 😏,ill fight for you then make you beg,"['ill', 'fight', 'for', 'you', 'then', 'make', 'you', 'beg']","['ill', 'fight', 'make', 'beg']","['fight', 'make', 'beg']"
Nap enthusiast and professional snack hunter 😴🍿,nap enthusiast and professional snack hunter,"['nap', 'enthusiast', 'and', 'professional', 'snack', 'hunter']","['nap', 'enthusiast', 'professional', 'snack', 'hunter']","['nap', 'enthusiast', 'professional', 'snack', 'hunter']"
"Pizza > everything, fight me.",pizza  everything fight me,"['pizza', 'everything', 'fight', 'me']","['pizza', 'everything', 'fight']","['pizza', 'everything', 'fight']"
could sleep 24/7,could sleep,"['could', 'sleep']","['could', 'sleep']","['could', 'sleep']"
i overthink everything,i overthink everything,"['i', 'overthink', 'everything']","['overthink', 'everything']","['overthink', 'everything']"
pizza time,pizza time,"['pizza', 'time']","['pizza', 'time']","['pizza', 'time']"
introvert with occasional extrovert mode,introvert with occasional extrovert mode,"['introvert', 'with', 'occasional', 'extrovert', 'mode']","['introvert', 'occasional', 'extrovert', 'mode']","['introvert', 'occasional', 'extrovert', 'mode']"
"I’ll share my fries, not my feelings easily.",ill share my fries not my feelings easily,"['ill', 'share', 'my', 'fries', 'not', 'my', 'feelings', 'easily']","['ill', 'share', 'fries', 'feelings', 'easily']","['share', 'fry', 'feeling', 'easily']"
don’t flirt if you can’t fight,dont flirt if you cant fight,"['dont', 'flirt', 'if', 'you', 'cant', 'fight']","['dont', 'flirt', 'cant', 'fight']","['flirt', 'fight']"
i live for memes,i live for memes,"['i', 'live', 'for', 'memes']","['live', 'memes']","['live', 'meme']"
Flirt level: expert,flirt level expert,"['flirt', 'level', 'expert']","['flirt', 'level', 'expert']","['flirt', 'level', 'expert']"
half healed. fully hot,half healed fully hot,"['half', 'healed', 'fully', 'hot']","['half', 'healed', 'fully', 'hot']","['half', 'heal', 'fully', 'hot']"
i nap anywhere anytime,i nap anywhere anytime,"['i', 'nap', 'anywhere', 'anytime']","['nap', 'anywhere', 'anytime']","['nap', 'anywhere', 'anytime']"
"Here for a good time, not a long bio",here for a good time not a long bio,"['here', 'for', 'a', 'good', 'time', 'not', 'a', 'long', 'bio']","['good', 'time', 'long', 'bio']","['good', 'time', 'long', 'bio']"
I laugh at my own jokes,i laugh at my own jokes,"['i', 'laugh', 'at', 'my', 'own', 'jokes']","['laugh', 'jokes']","['laugh', 'joke']"
"Foodie, ignores texts.",foodie ignores texts,"['foodie', 'ignores', 'texts']","['foodie', 'ignores', 'texts']","['foodie', 'ignores', 'texts']"
Can cook 2-minute noodles like a pro. 🍜,can cook minute noodles like a pro,"['can', 'cook', 'minute', 'noodles', 'like', 'a', 'pro']","['cook', 'minute', 'noodles', 'like', 'pro']","['cook', 'noodle', 'like', 'pro']"
tacos & coffee,tacos  coffee,"['tacos', 'coffee']","['tacos', 'coffee']","['taco', 'coffee']"
My dog is cooler than me,my dog is cooler than me,"['my', 'dog', 'is', 'cooler', 'than', 'me']","['dog', 'cooler']","['dog', 'cooler']"
introvert but loves deep talks,introvert but loves deep talks,"['introvert', 'but', 'loves', 'deep', 'talks']","['introvert', 'loves', 'deep', 'talks']","['introvert', 'love', 'deep', 'talk']"
i sing in shower,i sing in shower,"['i', 'sing', 'in', 'shower']","['sing', 'shower']","['sing', 'shower']"
messy but cute,messy but cute,"['messy', 'but', 'cute']","['messy', 'cute']","['messy', 'cute']"
"Coffee, chaos, and cuddles.",coffee chaos and cuddles,"['coffee', 'chaos', 'and', 'cuddles']","['coffee', 'chaos', 'cuddles']","['coffee', 'chaos', 'cuddle']"
pizza addict & napper,pizza addict  napper,"['pizza', 'addict', 'napper']","['pizza', 'addict', 'napper']","['pizza', 'addict', 'napper']"
Loves random acts of kindness.,loves random acts of kindness,"['loves', 'random', 'acts', 'of', 'kindness']","['loves', 'random', 'acts', 'kindness']","['love', 'random', 'act', 'kindness']"
good vibes only (sometimes),good vibes only sometimes,"['good', 'vibes', 'only', 'sometimes']","['good', 'vibes', 'sometimes']","['good', 'vibe', 'sometimes']"
"I roast, then regret later.",i roast then regret later,"['i', 'roast', 'then', 'regret', 'later']","['roast', 'regret', 'later']","['roast', 'regret', 'later']"
Obsessed with unique experiences.,obsessed with unique experiences,"['obsessed', 'with', 'unique', 'experiences']","['obsessed', 'unique', 'experiences']","['obsess', 'unique', 'experience']"
bad at texting,bad at texting,"['bad', 'at', 'texting']","['bad', 'texting']","['bad', 'texting']"
LOL ok,lol ok,"['lol', 'ok']","['lol', 'ok']","['lol', 'ok']"
Just here for the memes and good vibes 😏,just here for the memes and good vibes,"['just', 'here', 'for', 'the', 'memes', 'and', 'good', 'vibes']","['memes', 'good', 'vibes']","['memes', 'good', 'vibe']"
I laugh at my own jokes,i laugh at my own jokes,"['i', 'laugh', 'at', 'my', 'own', 'jokes']","['laugh', 'jokes']","['laugh', 'joke']"
"I care too much, sometimes poorly.",i care too much sometimes poorly,"['i', 'care', 'too', 'much', 'sometimes', 'poorly']","['care', 'much', 'sometimes', 'poorly']","['care', 'much', 'sometimes', 'poorly']"
Flirt like you mean it,flirt like you mean it,"['flirt', 'like', 'you', 'mean', 'it']","['flirt', 'like', 'mean']","['flirt', 'like', 'mean']"
"working on being a BETTER HUMAN, daily",working on being a better human daily,"['working', 'on', 'being', 'a', 'better', 'human', 'daily']","['working', 'better', 'human', 'daily']","['work', 'good', 'human', 'daily']"
"Foodie, sometimes clingy.",foodie sometimes clingy,"['foodie', 'sometimes', 'clingy']","['foodie', 'sometimes', 'clingy']","['foodie', 'sometimes', 'clingy']"
I may delete my TikToks but not my charm,i may delete my tiktoks but not my charm,"['i', 'may', 'delete', 'my', 'tiktoks', 'but', 'not', 'my', 'charm']","['may', 'delete', 'tiktoks', 'charm']","['may', 'delete', 'tiktoks', 'charm']"
"Yoga lover, ghosted recently.",yoga lover ghosted recently,"['yoga', 'lover', 'ghosted', 'recently']","['yoga', 'lover', 'ghosted', 'recently']","['yoga', 'lover', 'ghost', 'recently']"
chaotic incarnate,chaotic incarnate,"['chaotic', 'incarnate']","['chaotic', 'incarnate']","['chaotic', 'incarnate']"
Obsessed with scented candles and cozy vibes.,obsessed with scented candles and cozy vibes,"['obsessed', 'with', 'scented', 'candles', 'and', 'cozy', 'vibes']","['obsessed', 'scented', 'candles', 'cozy', 'vibes']","['obsess', 'scented', 'candle', 'cozy', 'vibe']"
awkward penguin,awkward penguin,"['awkward', 'penguin']","['awkward', 'penguin']","['awkward', 'penguin']"
naps are sacred,naps are sacred,"['naps', 'are', 'sacred']","['naps', 'sacred']","['nap', 'sacred']"
"wants a connection, not a collection",wants a connection not a collection,"['wants', 'a', 'connection', 'not', 'a', 'collection']","['wants', 'connection', 'collection']","['want', 'connection', 'collection']"
